"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Kyle Williams","NE","2.2","30.4","0.2","0.2","0.5","0.0","0.0","4.4"
"Dyami Brown","JAC","2.4","32.0","0.2","0.0","0.2","0.0","0.0","4.3"
"Jalen Nailor","MIN","2.3","29.0","0.2","0.2","1.2","0.0","0.0","4.3"
"Michael Wilson","ARI","2.6","30.7","0.2","0.0","0.1","0.0","0.0","4.3"
"Quentin Johnston","LAC","2.2","29.9","0.2","0.1","0.6","0.0","0.0","4.2"
"Alec Pierce","IND","1.8","28.8","0.2","0.0","0.0","0.0","0.0","3.9"
"Rashee Rice","KC","2.5","28.1","0.2","0.0","0.2","0.0","0.0","3.8"
"Josh Reynolds","NYJ","2.2","27.3","0.2","0.0","0.0","0.0","0.0","3.8"
"Nick Westbrook-Ikhine","MIA","1.8","24.4","0.2","0.0","0.0","0.0","0.0","3.7"
"DeAndre Hopkins","BAL","2.0","24.1","0.2","0.0","0.0","0.0","0.0","3.7"
"Tyler Lockett","TEN","2.4","25.7","0.2","0.0","0.0","0.0","0.0","3.6"
"Adonai Mitchell","IND","1.6","23.9","0.2","0.3","1.4","0.0","0.0","3.5"
"Tutu Atwell","LAR","2.1","26.5","0.1","0.3","1.3","0.0","0.0","3.5"
"Calvin Austin III","PIT","2.0","26.1","0.1","0.0","0.4","0.0","0.0","3.5"
"Brandin Cooks","NO","2.0","24.8","0.1","0.0","0.2","0.0","0.0","3.3"
"Diontae Johnson","CLE","2.1","24.8","0.2","0.0","0.0","0.0","0.0","3.3"
"Demarcus Robinson","SF","1.6","24.1","0.2","0.0","0.0","0.0","0.0","3.3"
"Jalen Coker","CAR","1.9","23.0","0.1","0.0","0.2","0.0","0.0","3.1"
"Marquez Valdes-Scantling","SEA","1.4","22.4","0.1","0.0","0.0","0.0","0.0","3.1"
"Ray-Ray McCloud III","ATL","2.0","20.8","0.1","0.5","2.9","0.0","0.0","3.0"
"Jordan Whittington","LAR","1.9","20.7","0.1","0.1","1.2","0.0","0.0","3.0"
"Chris Godwin","TB","1.9","20.5","0.2","0.0","0.1","0.0","0.0","2.9"
"Pat Bryant","DEN","1.6","19.5","0.2","0.0","0.0","0.0","0.0","2.9"
"KaVontae Turpin","DAL","1.3","16.9","0.1","0.7","4.2","0.0","0.0","2.9"
"Jaylin Noel","HOU","1.7","21.0","0.1","0.0","0.0","0.0","0.0","2.9"
"Allen Lazard","NYJ","1.6","20.7","0.1","0.0","0.0","0.0","0.0","2.8"
"Andrei Iosivas","CIN","1.6","18.3","0.1","0.0","0.0","0.0","0.0","2.7"
"Troy Franklin","DEN","1.3","17.7","0.1","0.1","0.6","0.0","0.0","2.7"
"Jalen Tolbert","DAL","1.6","19.4","0.1","0.0","0.0","0.0","0.0","2.7"
"Noah Brown","WAS","1.7","20.4","0.1","0.0","0.0","0.0","0.0","2.7"
"Jalen Royals","KC","1.5","17.9","0.1","0.0","0.0","0.0","0.0","2.6"
"Tre Tucker","LV","1.3","17.0","0.1","0.5","2.3","0.0","0.0","2.5"
"Curtis Samuel","BUF","1.5","14.9","0.1","0.3","1.8","0.0","0.0","2.5"
"Dontayvion Wicks","GB","1.4","17.7","0.1","0.0","0.0","0.0","0.0","2.5"
"Jermaine Burton","CIN","1.2","17.0","0.1","0.0","0.2","0.0","0.0","2.4"
"Dont'e Thornton Jr.","LV","1.4","17.7","0.1","0.0","0.3","0.0","0.0","2.4"
"Greg Dortch","ARI","1.6","15.2","0.1","0.3","2.0","0.0","0.0","2.3"
"JuJu Smith-Schuster","KC","1.5","16.5","0.1","0.0","0.0","0.0","0.0","2.3"
"Malik Washington","MIA","1.5","16.1","0.1","0.2","1.2","0.0","0.0","2.3"
"Tai Felton","MIN","1.3","15.0","0.1","0.0","0.4","0.0","0.0","2.2"
"Elic Ayomanor","TEN","1.3","15.3","0.1","0.0","0.3","0.0","0.0","2.1"
"Roman Wilson","PIT","1.2","15.3","0.1","0.0","0.0","0.0","0.0","2.1"
"Robert Woods","PIT","1.4","15.1","0.1","0.0","0.0","0.0","0.0","2.0"
"Chimere Dike","TEN","1.1","14.4","0.1","0.1","0.7","0.0","0.0","2.0"
"Devaughn Vele","DEN","1.4","13.7","0.1","0.0","0.1","0.0","0.0","2.0"
"Kayshon Boutte","NE","1.0","13.2","0.1","0.0","0.0","0.0","0.0","1.9"
"Malachi Corley","NYJ","1.2","12.0","0.1","0.3","2.2","0.0","0.0","1.9"
"Mack Hollins","NE","0.9","11.3","0.1","0.0","0.0","0.0","0.0","1.7"
"Van Jefferson","TEN","1.0","11.9","0.1","0.0","0.0","0.0","0.0","1.7"
"Savion Williams","GB","0.8","10.0","0.1","0.3","1.3","0.0","0.0","1.6"
"Tim Patrick","DET","1.0","11.8","0.1","0.0","0.0","0.0","0.0","1.6"
"Tory Horton","SEA","0.9","11.8","0.1","0.0","0.0","0.0","0.0","1.6"
"Rondale Moore","MIN","1.1","10.8","0.1","0.2","1.2","0.0","0.0","1.6"
"Parker Washington","JAC","1.0","11.1","0.1","0.0","0.1","0.0","0.0","1.6"
"Elijah Moore","BUF","1.0","10.8","0.1","0.0","0.2","0.0","0.0","1.5"
"Isaac TeSlaa","DET","0.8","10.6","0.1","0.0","0.0","0.0","0.0","1.5"
"Kendrick Bourne","NE","0.8","8.9","0.1","0.2","0.5","0.0","0.0","1.4"
"Olamide Zaccheaus","CHI","0.8","8.5","0.1","0.1","0.5","0.0","0.0","1.3"
"Luke McCaffrey","WAS","0.9","9.3","0.1","0.0","0.1","0.0","0.0","1.3"
"Jahan Dotson","PHI","0.8","8.8","0.1","0.0","0.2","0.0","0.0","1.2"
"KhaDarel Hodge","ATL","0.7","8.2","0.1","0.0","0.0","0.0","0.0","1.1"
"Jaylin Lane","WAS","0.6","6.7","0.1","0.1","0.8","0.0","0.0","1.1"
"Jake Bobo","SEA","0.7","7.8","0.1","0.0","0.0","0.0","0.0","1.1"
"Zay Jones","ARI","0.7","7.5","0.1","0.0","0.2","0.0","0.0","1.1"
"Ja'Lynn Polk","NE","0.6","7.0","0.1","0.0","0.0","0.0","0.0","1.0"
"Kalif Raymond","DET","0.7","7.7","0.0","0.0","0.3","0.0","0.0","1.0"
"Arian Smith","NYJ","0.6","7.3","0.0","0.0","0.4","0.0","0.0","1.0"
"Derius Davis","LAC","0.4","4.9","0.0","0.6","2.7","0.0","0.0","1.0"
"Tez Johnson","TB","0.5","6.6","0.0","0.0","0.1","0.0","0.0","0.9"
"Tim Jones","MIN","0.6","7.0","0.0","0.0","0.0","0.0","0.0","0.9"
