"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Charlie Kolar","BAL","TE54","0.0","0.1","0.0","0.7","7.0","0.1","0.0","1.1"
"Jake Bobo","SEA","WR130","0.0","0.0","0.0","0.7","7.8","0.1","0.0","1.1"
"Zay Jones","ARI","WR131","0.0","0.2","0.0","0.7","7.5","0.1","0.0","1.1"
"Josh Whyle","TEN","TE55","0.0","0.0","0.0","0.8","7.8","0.1","0.0","1.1"
"Luke Schoonmaker","DAL","TE56","0.0","0.0","0.0","0.8","7.4","0.1","0.0","1.0"
"A.J. Dillon","PHI","RB91","0.8","6.3","0.0","0.2","1.3","0.0","0.0","1.0"
"Ja'Lynn Polk","NE","WR132","0.0","0.0","0.0","0.6","7.0","0.1","0.0","1.0"
"Alexander Mattison","MIA","RB92","0.5","5.6","0.0","0.3","1.8","0.0","0.0","1.0"
"Kalif Raymond","DET","WR133","0.0","0.3","0.0","0.7","7.7","0.0","0.0","1.0"
"Arian Smith","NYJ","WR134","0.0","0.4","0.0","0.6","7.3","0.0","0.0","1.0"
"Derius Davis","LAC","WR135","0.6","2.7","0.0","0.4","4.9","0.0","0.0","1.0"
"Khalil Herbert","IND","RB93","0.6","5.8","0.1","0.1","0.9","0.0","0.0","1.0"
"Gunnar Helm","TEN","TE57","0.0","0.0","0.0","0.7","7.2","0.0","0.0","1.0"
"Sincere McCormick","LV","RB94","1.4","5.6","0.0","0.3","1.8","0.0","0.0","1.0"
"Tez Johnson","TB","WR136","0.0","0.1","0.0","0.5","6.6","0.0","0.0","0.9"
"Jordan James","SF","RB95","1.2","5.7","0.0","0.1","1.1","0.0","0.0","0.9"
"Tim Jones","MIN","WR137","0.0","0.0","0.0","0.6","7.0","0.0","0.0","0.9"
"Clyde Edwards-Helaire","NO","RB96","2.5","6.5","0.0","0.1","1.0","0.0","0.0","0.9"
"Ty Chandler","MIN","RB97","0.3","4.5","0.0","0.3","2.2","0.0","0.0","0.9"
"Grant Calcaterra","PHI","TE58","0.0","0.0","0.0","0.6","5.9","0.1","0.0","0.9"
"Emari Demercado","ARI","RB98","0.8","4.1","0.0","0.4","2.6","0.0","0.0","0.9"
"Chris Brooks","GB","RB99","0.7","4.6","0.0","0.2","1.3","0.0","0.0","0.9"
"Kyle Juszczyk","SF","RB100","0.3","1.0","0.0","0.7","5.4","0.0","0.0","0.9"
"Damien Martinez","SEA","RB101","0.5","5.2","0.0","0.2","1.3","0.0","0.0","0.9"
"Daniel Bellinger","NYG","TE59","0.0","0.0","0.0","0.7","6.2","0.0","0.0","0.9"
"Jeremy Ruckert","NYJ","TE60","0.0","0.0","0.0","0.7","6.1","0.0","0.0","0.8"
"Colby Parkinson","LAR","TE61","0.0","0.0","0.0","0.5","5.2","0.0","0.0","0.8"
"Alec Ingold","MIA","RB102","0.5","1.9","0.0","0.5","3.8","0.0","0.0","0.8"
"Justin Watson","HOU","WR138","0.0","0.0","0.0","0.4","5.4","0.0","0.0","0.8"
"Jalin Hyatt","NYG","WR139","0.0","0.0","0.0","0.4","5.5","0.0","0.0","0.8"
"Julian Hill","MIA","TE62","0.0","0.0","0.0","0.5","4.6","0.1","0.0","0.8"
"Kimani Vidal","LAC","RB103","0.2","3.5","0.0","0.2","1.6","0.0","0.0","0.8"
"Javon Baker","NE","WR140","0.0","0.0","0.0","0.4","4.8","0.0","0.0","0.7"
"Charlie Woerner","ATL","TE63","0.0","0.0","0.0","0.5","4.4","0.0","0.0","0.7"
"Pierre Strong Jr.","CLE","RB104","0.7","2.6","0.0","0.4","3.4","0.0","0.0","0.7"
"Darnell Washington","PIT","TE64","0.0","0.0","0.0","0.5","5.0","0.0","0.0","0.7"
"Stone Smartt","NYJ","TE65","0.0","0.0","0.0","0.5","5.2","0.0","0.0","0.7"
"Brevyn Spann-Ford","DAL","TE66","0.0","0.0","0.0","0.4","4.2","0.0","0.0","0.7"
"Bub Means","NO","WR141","0.0","0.1","0.0","0.4","4.3","0.0","0.0","0.7"
"Devontez Walker","BAL","WR142","0.0","0.2","0.0","0.3","4.2","0.0","0.0","0.6"
"Tyler Goodson","IND","RB105","0.0","2.4","0.0","0.3","2.0","0.0","0.0","0.6"
"Dante Pettis","NO","WR143","0.1","0.8","0.0","0.3","4.0","0.0","0.0","0.6"
"Payne Durham","TB","TE67","0.0","0.0","0.0","0.4","4.0","0.0","0.0","0.6"
"Jaheim Bell","NE","TE68","0.0","0.0","0.0","0.4","4.1","0.0","0.0","0.6"
"Brevin Jordan","HOU","TE69","0.0","0.0","0.0","0.4","4.1","0.0","0.0","0.6"
"Ben Yurosek","MIN","TE70","0.0","0.0","0.0","0.6","6.2","0.0","0.0","0.6"
"Tanner Hudson","CIN","TE71","0.0","0.0","0.0","0.4","4.0","0.0","0.0","0.6"
"Audric Estime","DEN","RB106","0.6","3.5","0.0","0.0","0.3","0.0","0.0","0.6"
"Devin Culp","TB","TE72","0.0","0.0","0.0","0.4","4.1","0.0","0.0","0.6"
"Johnny Wilson","PHI","WR144","0.0","0.0","0.0","0.3","3.7","0.0","0.0","0.6"
"John Metchie III","HOU","WR145","0.0","0.1","0.0","0.3","3.6","0.0","0.0","0.6"
"Sterling Shepard","TB","WR146","0.0","0.2","0.0","0.4","3.4","0.0","0.0","0.6"
"John Bates","WAS","TE73","0.0","0.0","0.0","0.3","3.1","0.0","0.0","0.6"
"Taysom Hill","NO","TE74","0.0","1.9","0.0","0.1","0.6","0.0","0.0","0.6"
"Xavier Restrepo","TEN","WR147","0.0","0.1","0.0","0.3","3.6","0.0","0.0","0.6"
"Tylan Wallace","BAL","WR148","0.0","0.1","0.0","0.2","3.0","0.0","0.0","0.5"
"Zamir White","LV","RB107","0.0","3.0","0.0","0.1","0.5","0.0","0.0","0.5"
"Rasheen Ali","BAL","RB108","0.3","3.0","0.0","0.1","0.7","0.0","0.0","0.5"
"Drew Sample","CIN","TE75","0.0","0.0","0.0","0.4","3.4","0.0","0.0","0.5"
"Tommy Mellott","LV","QB1","0.2","1.4","0.0","0.2","2.5","0.0","0.0","0.5"
"Kalel Mullings","TEN","RB109","0.6","3.2","0.0","0.1","0.9","0.0","0.0","0.5"
"Lil'Jordan Humphrey","NYG","WR149","0.0","0.0","0.0","0.3","3.4","0.0","0.0","0.5"
"Jashaun Corbin","ATL","RB110","0.5","2.3","0.0","0.1","0.9","0.0","0.0","0.5"
"David Moore","CAR","WR150","0.0","0.0","0.0","0.4","4.6","0.0","0.0","0.5"
"Carlos Washington Jr.","ATL","RB111","0.5","2.2","0.0","0.1","0.9","0.0","0.0","0.5"
"Johnny Mundt","JAC","TE76","0.0","0.0","0.0","0.4","3.6","0.0","0.0","0.5"
"Jonathan Mingo","DAL","WR151","0.0","0.0","0.0","0.3","3.9","0.0","0.0","0.5"
"Lucas Krull","DEN","TE77","0.0","0.0","0.0","0.4","4.3","0.0","0.0","0.5"
"Kylen Granson","PHI","TE78","0.0","0.0","0.0","0.3","4.2","0.0","0.0","0.5"
"Mitchell Evans","CAR","TE79","0.0","0.0","0.0","0.4","4.2","0.0","0.0","0.4"
"Hunter Luepke","DAL","RB112","0.3","1.4","0.0","0.3","1.9","0.0","0.0","0.4"
"Tucker Fisk","LAC","TE80","0.0","0.0","0.0","0.3","2.5","0.0","0.0","0.4"
"Jackson Hawes","BUF","TE81","0.0","0.0","0.0","0.4","3.9","0.0","0.0","0.4"
"Michael Burton","DEN","RB113","0.3","1.2","0.0","0.2","1.7","0.0","0.0","0.4"
"Eric Saubert","SEA","TE82","0.0","0.0","0.0","0.3","2.7","0.0","0.0","0.4"
"Mo Alie-Cox","IND","TE83","0.0","0.0","0.0","0.3","3.0","0.0","0.0","0.4"
"Nikko Remigio","KC","WR152","0.0","0.0","0.0","0.2","2.7","0.0","0.0","0.4"
"Tip Reiman","ARI","TE84","0.0","0.0","0.0","0.3","3.2","0.0","0.0","0.4"
"Hunter Renfrow","CAR","WR153","0.0","0.0","0.0","0.3","2.6","0.0","0.0","0.4"
"Jordan Watkins","SF","WR154","0.3","0.7","0.0","0.2","2.4","0.0","0.0","0.4"
"Mecole Hardman Jr.","GB","WR155","0.0","0.3","0.0","0.2","2.2","0.0","0.0","0.4"
"Treylon Burks","TEN","WR156","0.1","0.7","0.0","0.2","2.4","0.0","0.0","0.4"
"Michael Carter","ARI","RB114","0.0","2.1","0.0","0.1","0.6","0.0","0.0","0.4"
"Brock Wright","DET","TE85","0.0","0.0","0.0","0.2","2.3","0.0","0.0","0.4"
"Craig Reynolds","DET","RB115","0.3","2.1","0.0","0.1","1.1","0.0","0.0","0.3"
"Jamal Agnew","ATL","WR157","0.0","0.0","0.0","0.2","2.2","0.0","0.0","0.3"
"Michael Gallup","WAS","WR158","0.0","0.0","0.0","0.2","2.1","0.0","0.0","0.3"
"Harrison Bryant","PHI","TE86","0.0","0.0","0.0","0.4","3.0","0.0","0.0","0.3"
"Jacob Cowing","SF","WR159","0.0","0.0","0.0","0.2","2.7","0.0","0.0","0.3"
"Britain Covey","LAR","WR160","0.1","0.8","0.0","0.1","1.2","0.0","0.0","0.3"
"Carson Steele","KC","RB116","0.2","1.0","0.0","0.1","1.0","0.0","0.0","0.3"
"Jalen Reagor","LAC","WR161","0.0","0.0","0.0","0.2","2.5","0.0","0.0","0.3"
"Austin Trammell","JAC","WR162","0.0","0.0","0.0","0.2","2.4","0.0","0.0","0.3"
"Ian Thomas","LV","TE87","0.0","0.0","0.0","0.2","2.3","0.0","0.0","0.3"
"Nick Nash","ATL","WR163","0.0","0.0","0.0","0.2","2.3","0.0","0.0","0.3"
"Luke Farrell","SF","TE88","0.0","0.0","0.0","0.2","2.2","0.0","0.0","0.3"
"Bryce Oliver","TEN","WR164","0.0","0.0","0.0","0.2","2.2","0.0","0.0","0.3"
"Will Mallory","IND","TE89","0.0","0.0","0.0","0.3","2.8","0.0","0.0","0.3"
"Scotty Miller","PIT","WR165","0.0","0.0","0.0","0.2","2.2","0.0","0.0","0.3"
"Jeremy McNichols","WAS","RB117","0.3","1.9","0.0","0.1","0.6","0.0","0.0","0.3"
"C.J. Ham","MIN","RB118","0.1","0.5","0.0","0.3","1.6","0.0","0.0","0.3"
"Ben Skowronek","PIT","WR166","0.0","0.0","0.0","0.2","2.0","0.0","0.0","0.3"
"Trent Sherfield Sr.","DEN","WR167","0.0","0.0","0.0","0.2","2.2","0.0","0.0","0.3"
"Durham Smythe","CHI","TE90","0.0","0.0","0.0","0.3","2.2","0.0","0.0","0.3"
"Ashton Dulin","IND","WR168","0.0","0.3","0.0","0.2","1.7","0.0","0.0","0.2"
"DeeJay Dallas","ARI","RB119","0.3","1.3","0.0","0.1","1.0","0.0","0.0","0.2"
"Davis Allen","LAR","TE91","0.0","0.0","0.0","0.2","1.9","0.0","0.0","0.2"
"Anthony Gould","IND","WR169","0.0","0.1","0.0","0.2","1.8","0.0","0.0","0.2"
"Pharaoh Brown","MIA","TE92","0.0","0.0","0.0","0.2","1.9","0.0","0.0","0.2"
"Patrick Ricard","BAL","RB120","0.0","0.0","0.0","0.2","1.6","0.0","0.0","0.2"
"Patrick Taylor Jr.","SF","RB121","0.0","1.3","0.0","0.1","0.9","0.0","0.0","0.2"
"Travis Homer","CHI","RB122","0.3","1.2","0.0","0.1","0.5","0.0","0.0","0.2"
"KeAndre Lambert-Smith","LAC","WR170","0.0","0.0","0.0","0.1","1.6","0.0","0.0","0.2"
"Charlie Jones","CIN","WR171","0.0","0.0","0.0","0.1","1.3","0.0","0.0","0.2"
"Erik Ezukanma","MIA","WR172","0.0","0.0","0.0","0.1","1.3","0.0","0.0","0.2"
"Dee Eskridge","MIA","WR173","0.0","0.0","0.0","0.1","1.3","0.0","0.0","0.2"
"Ryan Flournoy","DAL","WR174","0.0","0.0","0.0","0.1","1.3","0.0","0.0","0.2"
"Tyler Badie","DEN","RB123","0.0","1.3","0.0","0.1","0.6","0.0","0.0","0.2"
"Jared Wiley","KC","TE93","0.0","0.0","0.0","0.1","1.2","0.0","0.0","0.2"
"Ihmir Smith-Marsette","NYG","WR175","0.0","0.0","0.0","0.1","1.2","0.0","0.0","0.2"
"John Stephens Jr.","DAL","WR176","0.0","0.0","0.0","0.1","1.2","0.0","0.0","0.2"
"Cam Grandy","CIN","TE94","0.0","0.0","0.0","0.1","1.2","0.0","0.0","0.2"
"Marcus Yarns","NO","RB124","0.0","1.2","0.0","0.1","0.6","0.0","0.0","0.2"
"Donovan Edwards","NYJ","RB125","0.0","1.2","0.0","0.1","0.6","0.0","0.0","0.2"
"Tanner Conner","MIA","TE95","0.0","0.0","0.0","0.1","1.2","0.0","0.0","0.2"
"Laviska Shenault Jr.","BUF","WR177","0.0","0.0","0.0","0.1","1.2","0.0","0.0","0.2"
"Zach Pascal","NYG","WR178","0.0","0.0","0.0","0.1","1.2","0.0","0.0","0.2"
"Jamari Thrash","CLE","WR179","0.0","0.0","0.0","0.1","1.2","0.0","0.0","0.2"
"Chris Manhertz","NYG","TE96","0.0","0.0","0.0","0.1","1.2","0.0","0.0","0.2"
"Brenden Bates","CLE","TE97","0.0","0.0","0.0","0.1","1.2","0.0","0.0","0.2"
"LeQuint Allen Jr.","JAC","RB126","0.3","1.2","0.0","0.0","0.0","0.0","0.0","0.2"
"Simi Fehoko","ARI","WR180","0.0","0.0","0.0","0.1","1.1","0.0","0.0","0.2"
"Gavin Bartholomew","MIN","TE98","0.0","0.0","0.0","0.1","1.1","0.0","0.0","0.2"
"Hunter Long","JAC","TE99","0.0","0.0","0.0","0.1","1.1","0.0","0.0","0.2"
"Blake Whiteheart","CLE","TE100","0.0","0.0","0.0","0.1","1.1","0.0","0.0","0.2"
"Xavier Gipson","NYJ","WR181","0.0","0.1","0.0","0.2","2.2","0.0","0.0","0.2"
"Efton Chism III","NE","WR182","0.0","0.0","0.0","0.1","1.1","0.0","0.0","0.2"
"Drew Ogletree","IND","TE101","0.0","0.0","0.0","0.1","1.4","0.0","0.0","0.2"
"Nate Adkins","DEN","TE102","0.0","0.0","0.0","0.1","1.1","0.0","0.0","0.2"
"David Martin-Robinson","TEN","TE103","0.0","0.0","0.0","0.1","1.1","0.0","0.0","0.2"
"Feleipe Franks","ATL","QB2","0.0","0.0","0.0","0.1","1.1","0.0","0.0","0.2"
"Malik Heath","GB","WR183","0.0","0.0","0.0","0.1","1.1","0.0","0.0","0.2"
"Zach Davidson","BUF","TE104","0.0","0.0","0.0","0.1","1.0","0.0","0.0","0.2"
"Connor Heyward","PIT","TE105","0.0","0.0","0.0","0.1","1.0","0.0","0.0","0.2"
"Jack Stoll","NO","TE106","0.0","0.0","0.0","0.1","1.0","0.0","0.0","0.2"
"Ainias Smith","PHI","WR184","0.0","0.0","0.0","0.1","1.0","0.0","0.0","0.2"
"Julius Chestnut","TEN","RB127","0.0","1.1","0.0","0.1","0.4","0.0","0.0","0.2"
"Robbie Ouzts","SEA","TE107","0.0","0.0","0.0","0.1","0.9","0.0","0.0","0.2"
"Deuce Vaughn","DAL","RB128","0.0","0.9","0.0","0.1","0.5","0.0","0.0","0.1"
"Keilan Robinson","PHI","RB129","0.0","1.0","0.0","0.1","0.4","0.0","0.0","0.1"
"Hassan Haskins","LAC","RB130","0.0","1.0","0.0","0.1","0.3","0.0","0.0","0.1"
"Kenny Yeboah","DET","TE108","0.0","0.0","0.0","0.1","1.3","0.0","0.0","0.1"
"Dylan Laube","LV","RB131","0.0","0.8","0.0","0.1","0.5","0.0","0.0","0.1"
"Devin Duvernay","CHI","WR185","0.0","0.3","0.0","0.1","1.2","0.0","0.0","0.1"
"Sione Vaki","DET","RB132","0.0","0.7","0.0","0.1","0.6","0.0","0.0","0.1"
"Avery Williams","PHI","RB133","0.0","1.1","0.0","0.1","0.6","0.0","0.0","0.1"
"Tyler Scott","CHI","WR186","0.0","0.2","0.0","0.1","0.9","0.0","0.0","0.1"
"David Bell","CLE","WR187","0.0","0.0","0.0","0.1","1.1","0.0","0.0","0.1"
"Cedrick Wilson Jr.","NO","WR188","0.0","0.0","0.0","0.1","1.1","0.0","0.0","0.1"
"Rakim Jarrett","TB","WR189","0.0","0.2","0.0","0.1","0.9","0.0","0.0","0.1"
"Ronnie Rivers","LAR","RB134","0.0","0.7","0.0","0.1","0.4","0.0","0.0","0.1"
"Xavier Smith","LAR","WR190","0.0","0.5","0.0","0.1","1.1","0.0","0.0","0.1"
"Braxton Berrios","HOU","WR191","0.0","0.0","0.0","0.1","0.9","0.0","0.0","0.1"
"Quintin Morris","JAC","TE109","0.0","0.0","0.0","0.1","0.9","0.0","0.0","0.1"
"Trey Palmer","TB","WR192","0.0","0.0","0.0","0.1","0.9","0.0","0.0","0.1"
"Scott Matlock","LAC","DT1","0.0","0.0","0.0","0.1","0.9","0.0","0.0","0.1"
"Eric Gray","NYG","RB135","0.0","0.8","0.0","0.1","0.5","0.0","0.0","0.1"
"Raheem Blackshear","CAR","RB136","0.0","0.6","0.0","0.1","0.5","0.0","0.0","0.1"
"Dalton Keene","HOU","TE110","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Stephen Sullivan","CAR","TE111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mitchell Wilcox","MIA","TE112","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trayveon Williams","CLE","RB137","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ameer Abdullah","SF","RB138","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"D'Ernest Johnson","BAL","RB139","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Andrew Beck","NYJ","TE113","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jakob Johnson","HOU","RB140","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cam Akers","NO","RB141","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Darrynton Evans","BUF","RB142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"J.J. Taylor","HOU","RB143","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Salvon Ahmed","IND","RB144","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Reggie Gilliam","BUF","RB145","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathan Ward","NYG","RB146","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trey Sermon","PIT","RB147","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jermar Jefferson","TEN","RB148","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gary Brightwell","CIN","RB149","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Demetric Felton Jr.","WAS","RB150","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","RB151","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jaret Patterson","LAC","RB152","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Velus Jones Jr.","NO","WR193","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Keaontay Ingram","KC","RB153","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Zonovan Knight","NYJ","RB154","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Evan Hull","PIT","RB155","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Israel Abanikanda","GB","RB156","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lew Nichols III","PIT","RB157","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Elijah Dotson","ATL","RB158","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ben VanSumeren","PHI","LB1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brady Russell","SEA","TE114","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jordan Mims","TEN","RB159","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Owen Wright","TB","RB160","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathon Brooks","CAR","RB161","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jawhar Jordan","HOU","RB162","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dante Miller","NYG","RB163","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Blake Watson","DEN","RB164","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Saylors","DET","RB165","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"British Brooks","HOU","RB166","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cody Schrader","LAR","RB167","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Terrell Jennings","NE","RB168","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kendall Milton","CIN","RB169","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Frank Gore Jr.","BUF","RB170","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","RB171","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"George Holani","SEA","RB172","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Phil Mafah","DAL","RB173","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"JaMycal Hasty","NE","RB174","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ellis Merriweather","GB","RB175","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brandon Aiyuk","SF","WR194","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Christian Watson","GB","WR195","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Steven Sims Jr.","SEA","WR196","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DeAndre Carter","CLE","WR197","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tom Kennedy","DET","WR198","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Kinsey","TEN","WR199","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LaJohntay Wester","BAL","WR200","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Isaiah Williams","CIN","WR201","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jimmy Horn Jr.","CAR","WR202","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Moore","WAS","WR203","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Laquon Treadwell","IND","WR204","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trent Taylor","SF","WR205","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Keith Kirkwood","BAL","WR206","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Phillip Dorsett II","LV","WR207","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Miles Boykin","CHI","WR208","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DJ Chark Jr.","ATL","WR209","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Robbie Chosen","SF","WR210","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gunner Olszewski","NYG","WR211","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trenton Irwin","JAC","WR212","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"KJ Hamler","BUF","WR213","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Johnson","NYJ","WR214","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Donovan Peoples-Jones","NO","WR215","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Quez Watkins","ARI","WR216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Collin Johnson","LV","WR217","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"K.J. Osborn","WAS","WR218","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"James Proche II","TEN","WR219","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Isaiah Hodgins","SF","WR220","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Malik Taylor","DET","WR221","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trishton Jackson","ARI","WR222","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kristian Wilkerson","BUF","WR223","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Terrace Marshall Jr.","PHI","WR224","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dez Fitzpatrick","LAC","WR225","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Harris","TB","TE115","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Seth Williams","LV","WR226","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Strachan","WAS","WR227","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cody White","SEA","WR228","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Bandy","DEN","WR229","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tarik Black","MIA","WR230","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"D.J. Montgomery","IND","WR231","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"David Sills","ATL","WR232","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skyy Moore","KC","WR233","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyquan Thornton","KC","WR234","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Montrell Washington","NYG","WR235","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Samori Toure","CHI","WR236","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dareke Young","SEA","WR237","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brandon Smith","NYJ","WR238","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lance McCutcheon","PIT","WR239","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Virgil","BUF","WR240","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kendric Pryor","CIN","WR241","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Andre Baccellia","ARI","WR242","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dennis Houston","TB","WR243","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brandon Johnson","PIT","WR244","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tay Martin","WAS","WR245","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Johnny Johnson III","HOU","WR246","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Braylon Sanders","WAS","WR247","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Maurice Alexander","CHI","WR248","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tank Dell","HOU","WR249","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ronnie Bell","DET","WR250","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Brooks","DAL","WR251","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Xavier Hutchinson","HOU","WR252","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"A.T. Perry","DEN","WR253","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
