"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"431","Savion Williams","GB","5","WR137","317","","692","","","504.5"
"432","Mitchell Evans","CAR","14","TE61","320","","675","","","497.5"
"433","LaJohntay Wester","BAL","7","WR138","322","","674","","","498.0"
"434","Alexander Mattison","MIA","12","RB102","","","328","","","328.0"
"435","Zach Wilson","MIA","12","QB63","333","","768","","","550.5"
"436","Ty Johnson","BUF","7","RB103","","","334","","","334.0"
"437","Johnny Wilson","PHI","9","WR139","336","","650","","","493.0"
"438","Mason Crosby","","","K39","337","","","","","337.0"
"439","Emanuel Wilson","GB","5","RB104","","","337","","","337.0"
"440","Spencer Rattler","NO","11","QB64","","","338","","","338.0"
"441","Curtis Samuel","BUF","7","WR140","472","","367","","","419.5"
"442","Max Duggan","","","QB65","341","","","","","341.0"
"443","Tommy DeVito","NYG","14","QB66","343","","623","","","483.0"
"444","Baylor Cupp","BAL","7","TE62","346","","","","","346.0"
"445","Dalvin Cook","","","RB105","347","","","","","347.0"
"446","Damien Martinez","SEA","8","RB106","425","","424","","","424.5"
"447","Noah Brown","WAS","12","WR141","","","351","","","351.0"
"448","Drew Sample","CIN","10","TE63","","","353","","","353.0"
"449","Lil'Jordan Humphrey","NYG","14","WR142","355","","558","","","456.5"
"450","Donovan Peoples-Jones","NO","11","WR143","356","","569","","","462.5"
"451","Stetson Bennett IV","LAR","8","QB67","358","","616","","","487.0"
"452","Travis Homer","CHI","5","RB107","382","","476","","","429.0"
"453","Teddy Bridgewater","TB","9","QB68","362","","","","","362.0"
"454","Devontez Walker","BAL","7","WR144","364","","638","","","501.0"
"455","Zane Gonzalez","","","K40","396","","468","","","432.0"
"456","David Moore","CAR","14","WR145","462","","402","","","432.0"
"457","Gavin Bartholomew","MIN","6","TE64","366","","525","","","445.5"
"458","Brandon Allen","TEN","10","QB69","401","","466","","","433.5"
"459","Terrace Marshall Jr.","PHI","9","WR146","368","","582","","","475.0"
"460","Jalen Reagor","LAC","12","WR147","369","","575","","","472.0"
"461","Cade York","","","K41","459","","410","","","434.5"
"462","Greg Dortch","ARI","8","WR148","","","372","","","372.0"
"463","Kadarius Toney","","","WR149","372","","767","","","569.5"
"464","Jermaine Jackson","","","WR150","373","","","","","373.0"
"465","Darrynton Evans","BUF","7","RB108","","","374","","","374.0"
"466","Raheem Blackshear","CAR","14","RB109","374","","502","","","438.0"
"467","Clyde Edwards-Helaire","NO","11","RB110","","","375","","","375.0"
"468","Tai Felton","MIN","6","WR151","375","","526","","","450.5"
"469","Jaren Hall","","","QB70","377","","","","","377.0"
"470","Carson Wentz","","","QB71","378","","538","","","458.0"
"471","Hassan Haskins","LAC","12","RB111","","","379","","","379.0"
"472","DJ Chark Jr.","ATL","5","WR152","379","","741","","","560.0"
"473","Sincere McCormick","LV","8","RB112","","","381","","","381.0"
"474","D.J. Montgomery","IND","11","WR153","383","","561","","","472.0"
"475","E.J. Jenkins","PHI","9","TE65","","","384","","","384.0"
"476","Leonard Fournette","","","RB113","385","","","","","385.0"
"477","Chris Brooks","GB","5","RB114","","","385","","","385.0"
"478","Julius Chestnut","TEN","10","RB115","388","","501","","","444.5"
"479","Kimani Vidal","LAC","12","RB116","441","","447","","","444.0"
"480","Avery Williams","PHI","9","RB117","389","","581","","","485.0"
"481","Ja'Corey Brooks","WAS","12","WR154","390","","","","","390.0"
"482","Jacob Cowing","SF","14","WR155","","","392","","","392.0"
"483","Dorian Thompson-Robinson","PHI","9","QB72","393","","613","","","503.0"
"484","Jeremy McNichols","WAS","12","RB118","","","398","","","398.0"
"485","Eddy Pineiro","","","K42","398","","547","","","472.5"
"486","Cam Akers","NO","11","RB119","468","","431","","","449.5"
"487","Mo Alie-Cox","IND","11","TE66","","","401","","","401.0"
"488","Rondale Moore","MIN","6","WR156","402","","769","","","585.5"
"489","John Ross","","","WR157","403","","","","","403.0"
"490","Justin Watson","HOU","6","WR158","","","404","","","404.0"
"491","Tyler Scott","CHI","5","WR159","404","","791","","","597.5"
"492","Charlie Kolar","BAL","7","TE67","410","","494","","","452.0"
"493","Arian Smith","NYJ","9","WR160","405","","880","","","642.5"
"494","Melvin Gordon","III","","RB120","406","","","","","406.0"
"495","Van Jefferson","TEN","10","WR161","","","407","","","407.0"
"496","Charlie Jones","CIN","10","WR162","407","","612","","","509.5"
"497","Lucas Havrisik","","","K43","408","","","","","408.0"
"498","Cole Fotheringham","NE","14","TE68","409","","","","","409.0"
"499","Skyy Moore","KC","10","WR163","412","","496","","","454.0"
"500","Anthony Brown Jr.","","","QB73","411","","","","","411.0"
"501","Parker Washington","JAC","8","WR164","","","413","","","413.0"
"502","Xavier Gipson","NYJ","9","WR165","415","","624","","","519.5"
"503","Matt Corral","","","QB74","416","","","","","416.0"
"504","Trey Palmer","TB","9","WR166","","","416","","","416.0"
